count,description,amount_per_100g,amount_per_cup
1052850,"Raspberries, raw",7.8,11.7
1053047,"Raspberries, frozen",7.8,11.7
1053241,"Strawberries, raw",2.1,3.1500000000000004
1053421,"Strawberries, canned",1.5,3.75
1053565,"Strawberries, frozen",2.2,3.3000000000000003
1053746,Ambrosia,0.2,0.386
1054168,"Fruit cocktail, canned, NFS",2.3,5.75
1054916,"Fruit mixture, frozen",2.6,3.9000000000000004
1055045,Apple salad with dressing,26.3,36.031000000000006
1056736,Lime souffle,0.7,0.84
1057516,"Soup, fruit",2.0,4.84
1058052,Sorbet,0.4,0.8
1065833,"Fruit smoothie, light",3.1,6.696000000000001
1066176,"Fruit smoothie, bottled",2.1,5.208
1077941,Baby Toddler yogurt melts,12.2,3.416
1078166,"Potato, NFS",3.9,6.24
1078493,"Potato, baked, NFS",0.3,0.39
1078818,"Potato, baked, peel not eaten",0.3,0.39
1079171,"Potato, boiled, NFS",3.9,6.24
1079630,"Potato, boiled, ready-to-heat",3.9,6.24
1085480,"Potato, canned, NS as to fat",5.1,9.435
1085870,"Potato, canned, no added fat",1.5,2.7750000000000004
1086128,"Potato, roasted, NFS",3.9,6.24
1092045,"Potato, roasted, ready-to-heat",3.9,6.24
1094123,"Potato chips, NFS",22.1,5.525
1094578,"Potato chips, plain",22.1,5.525
1095940,"Potato chips, cheese flavored",16.1,4.025
1096396,"Potato chips, other flavored",16.1,4.025
1096851,"Potato chips, ruffled, plain",22.1,7.072000000000001
1100169,"Potato chips, baked, plain",7.2,1.8
1100626,"Potato chips, baked, flavored",7.2,1.8
1101075,"Potato chips, reduced fat",13.2,3.3
1102053,"Potato chips, unsalted",11.9,2.975
1102509,"Potato chips, lightly salted",22.1,5.525
1103484,"Potato chips, popped, plain",7.2,1.4400000000000002
1103941,"Potato chips, popped, flavored",7.2,1.4400000000000002
1104396,"Potato chips, popped, NFS",7.2,1.4400000000000002
1104845,"Potato sticks, plain",22.1,8.398000000000001
1105302,"Potato sticks, flavored",21.9,8.322
1105760,"Potato sticks, fry shaped",21.9,8.322
1106211,Vegetable chips,31.0,9.299999999999999
1106591,"Potato, scalloped, NFS",1.6,4.0
1106851,"Potato, scalloped, from fresh",1.6,4.0
1107739,"Potato, french fries, NFS",16.7,10.02
1113561,"Potato, french fries, school",10.9,6.54
1116097,"Potato, home fries, NFS",15.1,30.2
1116420,"Potato, home fries, from fresh",13.5,27.0
1116942,"Potato, hash brown, NFS",17.9,28.64
1118095,"Potato, hash brown, from fresh",14.3,22.880000000000003
1119930,"Potato, mashed, NFS",1.5,3.75
1120110,"Potato, mashed, from fast food",5.9,14.75
1120371,"Potato, mashed, ready-to-heat",2.4,6.0
1122532,Potato patty,8.6,13.76
1122725,"Potato tots, NFS",10.0,13.0
1123182,"Potato tots, school",10.9,14.170000000000002
1123570,"Potato tots, frozen, baked",2.6,3.3800000000000003
1123767,"Potato tots, frozen, fried",10.0,13.0
1126136,"Potato, baked, peel eaten",2.0,2.6
1129665,"Potato salad, German style",2.8,4.8999999999999995
1129796,"Potato salad, from restaurant",26.2,72.05
1131810,Stewed potatoes,3.7,9.25
1131941,Stewed potatoes with tomatoes,6.2,15.5
1132656,Potato and cheese soup,4.1,10.168
1132786,Potato chowder,0.8,1.984
1133093,"Plantain, cooked, no added fat",28.7,57.4
1133401,"Plantain, cooked with oil",31.1,52.870000000000005
1134313,Plantain chips,28.6,10.868
1134751,"Green banana, fried",31.1,52.870000000000005
1134930,"Cassava, cooked",4.4,7.040000000000001
1135061,Yuca fries,16.7,23.38
1135321,"Dasheen, cooked",3.4,5.44
1135451,"Taro, cooked",3.4,5.44
1135856,"Beet greens, raw",400.0,152.0
1136036,"Beet greens, cooked",418.8,628.2
1136165,"Broccoli raab, raw",224.0,89.60000000000001
1136295,"Broccoli raab, cooked",228.2,387.94
1136441,"Chard, raw",830.0,298.8
1136621,"Chard, cooked",866.4,1299.6
1136750,"Collards, raw",437.1,157.356
1138456,"Cress, raw",541.9,270.95
1138635,"Cress, cooked",566.5,793.0999999999999
1138766,"Dandelion greens, raw",778.4,428.12
1138895,"Dandelion greens, cooked",812.6,893.8600000000001
1139074,"Romaine lettuce, raw",126.3,44.205
1139562,"Escarole, cooked",207.4,279.99
1140000,"Greens, NS as to form, cooked",410.0,553.5
1140566,"Kale, raw",390.0,97.5
1141235,"Kale, NS as to form, cooked",408.4,551.34
1141366,"Kale, fresh, cooked, fat added",408.4,551.34
1141625,"Lambsquarter, cooked",480.6,889.1100000000001
1141755,"Mustard greens, raw",257.5,144.20000000000002
1142665,"Poke greens, cooked",106.8,160.2
1142812,"Radicchio, raw",255.2,102.08
1143039,"Spinach, raw",482.9,120.725
1143965,"Spinach, NS as to form, cooked",552.6,1022.3100000000001
1145005,"Spinach, creamed",341.4,682.8
1145135,Spinach souffle,133.1,133.1
1145266,Spinach and cheese casserole,355.2,710.4
1145395,Palak Paneer,177.6,355.2
1145525,Channa Saag,363.7,891.065
1145655,"Taro leaves, cooked",115.4,173.10000000000002
1146710,"Watercress, raw",250.0,85.0
1146891,"Watercress, cooked",262.6,372.892
1147311,"Broccoli, raw",102.0,91.8
1150920,Broccoli casserole with rice,46.2,105.336
1151066,Fried broccoli,53.6,45.56
1151245,"Broccoli, chinese, raw",89.1,32.07599999999999
1151375,"Broccoli, Chinese, cooked",92.2,81.13600000000001
1152090,Spinach soup,180.2,441.49
1152559,"Carrots, raw",13.2,15.839999999999998
1152936,"Carrots, raw, salad",42.4,74.2
1155270,"Carrots, NS as to form, cooked",15.6,24.96
1157580,"Carrots, glazed, cooked",12.4,19.840000000000003
1160281,"Pumpkin, canned, cooked",17.8,43.61000000000001
1160427,"Pumpkin, cooked",3.5,8.049999999999999
1160606,"Winter squash, raw",1.1,1.54
1160995,"Squash, winter, souffle",3.3,5.181
1163871,"Sweet potato, candied",4.2,10.5
1164976,"Sweet potato fries, NFS",4.8,2.88
1165236,Sweet potato chips,24.4,6.1
1165626,"Sweet potato fries, frozen",4.8,2.88
1165821,"Sweet potato fries, from fresh",12.0,7.199999999999999
1166211,"Sweet potato fries, school",4.8,2.88
1166406,Sweet potato tots,4.8,6.24
1166797,"Sweet potato tots, school",4.8,6.24
1167200,"Tomatoes, raw",7.5,13.5
1167835,"Tomatoes, fresh, cooked",12.3,29.52
1168031,"Tomatoes, canned, cooked",4.8,11.52
1168211,"Tomatoes, scalloped",8.1,19.439999999999998
1168552,Fried green tomatoes,17.1,30.780000000000005
1168746,"Tomato, green, pickled",8.4,11.927999999999999
1168940,Sun-dried tomatoes,43.0,23.650000000000002
1170497,Ketchup,3.0,8.16
1170955,"Ketchup, reduced sodium",3.0,8.16
1171506,"Salsa, NFS",4.2,10.752
1171786,"Salsa, pico de gallo",6.9,16.56
1171964,"Salsa, red",4.2,10.752
1172240,"Salsa, red, homemade",4.2,9.828
1172906,"Salsa verde or salsa, green",13.6,33.455999999999996
1173281,Spaghetti sauce,13.9,36.14
1173671,"Spaghetti sauce, fat free",2.8,7.279999999999999
1174007,Barbecue sauce,1.8,4.896000000000001
1175360,Tomato aspic,1.8,4.086
1175666,"Tomato soup, NFS",1.6,3.904
1178025,"Raw vegetable, NFS",38.0,45.6
1178156,"Sprouts, NFS",33.0,18.48
1178286,"Alfalfa sprouts, raw",30.5,10.065000000000001
1178416,"Artichoke, raw",14.8,22.200000000000003
1178577,"Asparagus, raw",41.6,56.160000000000004
1178806,"Bean sprouts, raw",33.0,29.7
1178951,"Green beans, raw",43.0,43.0
1179147,"Beets, raw",0.2,0.27
1179340,"Broccoflower, raw",20.2,12.927999999999999
1179535,"Brussels sprouts, raw",177.0,159.3
1179747,"Cabbage, green, raw",76.0,68.4
1180008,"Cabbage, Chinese, raw",45.5,40.95
1180265,"Cabbage, red, raw",38.2,34.38
1180512,"Cactus, raw",5.3,7.949999999999999
1180723,"Cauliflower, raw",15.5,17.05
1180996,"Celery, raw",29.3,35.16
1181438,"Basil, raw",414.8,99.55199999999999
1181826,"Cilantro, raw",310.0,49.6
1182070,"Corn, raw",0.3,0.44999999999999996
1182312,"Cucumber, raw",16.4,19.679999999999996
1182656,"Eggplant, raw",3.5,2.8000000000000003
1182866,"Garlic, raw",1.7,2.295
1183125,"Jicama, raw",0.3,0.39
1183370,"Kohlrabi, raw",0.1,0.135
1183595,"Lettuce, raw",75.2,26.32
1183920,"Lettuce, Boston, raw",140.3,35.075
1184232,"Lettuce, arugula, raw",108.6,21.72
1184477,"Mixed salad greens, raw",193.4,67.69
1184686,"Mushrooms, raw",0.0,0.0
1184930,"Onions, green, raw",207.0,207.0
1185159,"Onions, raw",0.4,0.6400000000000001
1185452,"Parsley, raw",1640.0,984.0
1185630,"Green peas, raw",24.8,35.96
1185807,"Pepper, hot chili, raw",16.2,24.299999999999997
1186149,"Pepper, raw, NFS",6.5,9.75
1186540,"Pepper, sweet, green, raw",7.4,11.100000000000001
1186929,"Pepper, sweet, red, raw",4.9,7.3500000000000005
1187271,"Pepper, banana, raw",9.5,14.25
1187482,"Radish, raw",1.3,1.4949999999999999
1187727,"Rutabaga, raw",0.3,0.42
1187906,"Seaweed, raw",25.1,20.080000000000002
1188052,"Snowpeas, raw",25.0,16.25
1188262,"Summer squash, yellow, raw",3.2,3.6799999999999997
1188522,"Summer squash, green, raw",4.3,4.944999999999999
1188781,"Turnip, raw",0.1,0.13
1189027,Mixed vegetable juice,22.4,55.104
1189221,Celery juice,29.3,69.148
1189530,Broccoli slaw salad,81.6,151.776
1189951,Coleslaw,65.0,143.0
1190181,"Cabbage salad, NFS",55.5,122.10000000000001
1190310,"Coleslaw, with fruit",51.8,113.96000000000001
1190441,Cucumber and vegetable namasu,10.7,16.585
1192390,"Greek Salad, no dressing",64.9,68.14500000000001
1192520,"Spinach salad, no dressing",347.9,257.44599999999997
1192651,"Cobb salad, no dressing",33.7,35.385000000000005
1196941,"Bamboo shoots, cooked",2.2,3.4100000000000006
1197476,"Lima beans, from canned",7.1,13.135
1202352,Fried green beans,30.4,44.08
1202560,"Yellow string beans, cooked",39.1,56.695
1202790,"Bean sprouts, cooked",22.5,25.874999999999996
1203470,"Beets, NS as to form, cooked",2.4,4.2
1204497,"Bitter melon, cooked",6.9,8.97
1204691,"Breadfruit, cooked",2.7,4.59
1204885,"Broccoflower, cooked",22.7,20.43
1206041,"Burdock, cooked",4.1,5.33
1207015,"Cabbage, red, cooked",40.8,63.239999999999995
1207145,"Cabbage, savoy, cooked",71.7,111.135
1207290,"Cactus, cooked, no added fat",5.3,7.949999999999999
1207485,"Cactus, cooked, fat added",7.4,11.47
1209501,"Celery, cooked",32.9,50.995
1209825,"Christophine, cooked",6.7,11.055
1210054,"Corn, cooked, from restaurant",3.9,6.63
1211221,"Corn, NS as to form, cooked",2.2,3.74
1212393,"Corn, fresh, cooked with oil",3.5,5.95
1213043,"Corn, frozen, cooked with oil",3.5,5.95
1213660,"Corn, canned, cooked with oil",3.2,5.44
1214036,"Corn, creamed",0.0,0.0
1214960,"Cucumber, cooked",21.3,39.405
1215170,"Eggplant, cooked, no added fat",3.8,3.61
1215430,"Eggplant, cooked, fat added",6.0,6.0
1215985,"Hominy, cooked",1.4,2.38
1216116,"Kohlrabi, cooked",2.4,4.08
1216276,"Leek, cooked",51.3,87.21
1216521,"Lotus root, cooked",2.3,2.875
1217511,"Mushrooms, canned, cooked",2.2,3.5200000000000005
1218795,"Okra, NS as to form, cooked",35.0,57.75
1218990,"Okra, fresh, cooked, fat added",35.0,57.75
1219366,"Lettuce, cooked",88.3,75.938
1219525,"Onions, cooked, no added fat",0.5,1.05
1219787,"Onions, cooked, fat added",3.1,6.665
1220031,"Onions, pearl, cooked",2.5,4.625
1220227,"Onions, green, cooked",238.4,536.4
1220420,"Palm hearts, cooked",2.2,3.19
1220631,"Parsnips, cooked",3.2,5.120000000000001
1220861,"Blackeyed peas, from frozen",37.8,69.92999999999999
1220991,"Blackeyed peas, from canned",37.7,69.745
1223506,"Peppers, green, cooked",9.8,15.190000000000001
1223832,"Peppers, red, cooked",7.3,11.315
1224126,"Hot peppers, cooked",18.7,28.049999999999997
1224335,Pimiento,10.2,19.584
1224565,"Daikon radish, cooked",3.5,5.425
1224727,"Rutabaga, cooked",2.7,4.7250000000000005
1224955,"Salsify, cooked",2.5,3.5
1225085,Sauerkraut,14.0,19.599999999999998
1225621,"Snowpea, NS as to form, cooked",27.5,45.375
1226205,"Seaweed, dried",25.0,3.75
1226385,"Seaweed, cooked, no added fat",25.1,25.1
1226516,"Seaweed, cooked, fat added",26.6,27.930000000000003
1230351,"Spaghetti squash, cooked",3.0,4.65
1230512,"Turnip, cooked",2.5,4.0
1230755,Water Chesnut,0.3,0.474
1230935,"Winter melon, cooked",4.9,8.575000000000001
1234056,Ratatouille,5.1,10.964999999999998
1235225,"Jai, Monk's Food",1.0,1.88
1235500,"Artichokes, stuffed",28.2,16.919999999999998
1235680,Green bean casserole,30.8,70.83999999999999
1236021,Fried cauliflower,19.5,16.575
1236216,"Chiles rellenos, cheese-filled",13.5,23.76
1236720,"Corn, scalloped or pudding",3.2,6.848000000000001
1236867,"Fritter, corn",23.6,24.78
1237045,Fried eggplant,14.8,32.56
1237776,"Mushrooms, stuffed",13.9,26.41
1237985,Fried mushrooms,13.4,18.090000000000003
1238232,Fried okra,31.5,28.35
1238443,Fried onion rings,45.0,22.5
1238671,Pea salad,52.0,111.28
1238801,Pea salad with cheese,47.0,100.58000000000001
1239580,"Squash, summer, souffle",2.7,3.6720000000000006
1239710,Vegetable stew without meat,4.5,10.755
1240002,Vegetable tempura,27.6,17.388
1240360,Vegetable curry,10.8,25.92
1240491,Vegetable curry with rice,6.5,13.0
1240751,"Green beans, pickled",35.7,51.765
1240910,"Beets, pickled",0.3,0.51
1241141,"Celery, pickled",24.3,36.45
1241415,"Cauliflower, pickled",12.9,16.125
1241726,"Cabbage, red, pickled",31.7,47.55
1241855,Kimchi,43.6,65.4
1242076,"Pickles, dill",16.8,26.040000000000003
1242892,"Pickles, sweet",47.1,73.00500000000001
1243220,"Eggplant, pickled",2.9,2.755
1243350,"Ginger root, pickled",2.2,5.28
1243643,"Mushrooms, pickled",0.0,0.0
1244537,"Olives, NFS",1.4,1.89
1244730,"Olives, green",1.4,1.89
1244927,"Olives, black",1.4,1.89
1245121,"Olives, stuffed",16.6,22.410000000000004
1245771,"Peppers, pickled",5.4,8.100000000000001
1245980,"Pepper, hot, pickled",21.9,32.849999999999994
1246256,"Jalapenos, NFS",20.2,30.299999999999997
1246626,"Pickles, NFS",16.8,26.040000000000003
1247085,"Pickles, fried",28.7,44.485
1247446,"Seaweed, pickled",20.8,20.8
1247576,"Vegetables, pickled",11.8,18.880000000000003
1247720,"Turnip, pickled",0.1,0.15500000000000003
1248095,"Zucchini, pickled",3.6,6.12
1248551,Borscht,9.5,23.275000000000002
1248940,Kimchi soup,13.8,33.81
1249265,Gazpacho,35.9,87.59599999999999
1250306,"Onion soup, French",1.2,2.892
1250435,"Pea soup, prepared with milk",0.3,0.762
1250695,Seaweed soup,11.9,27.369999999999997
1251671,"Vegetable soup, home recipe",16.9,39.54599999999999
1252255,"Minestrone soup, home recipe",16.3,38.305
1254660,"Vegetable broth, bouillon",0.7,1.68
1262065,Eggplant and meat casserole,21.2,43.035999999999994
1264993,Vegetable smoothie,85.4,184.46400000000003
1265368,"Table fat, NFS",43.9,98.33600000000001
1265737,"Butter, NFS",7.0,15.680000000000001
1266258,"Butter, stick",7.0,15.680000000000001
1266779,"Butter, tub",4.6,10.304
1267301,"Butter, light",4.8,10.752
1267821,"Margarine, NFS",99.2,222.20800000000003
1268338,"Margarine, stick",93.0,208.32000000000002
1268846,"Margarine, tub",101.3,226.912
1269295,"Margarine-oil blend, NFS",101.3,232.98999999999998
1269765,"Margarine-oil blend, stick",93.0,208.32000000000002
1270273,"Margarine-oil blend, tub",101.3,232.98999999999998
1270726,"Butter replacement, liquid",101.3,226.912
1272226,"Butter-oil blend, NFS",4.6,10.304
1272690,"Butter-oil blend, stick",7.0,15.680000000000001
1273197,"Butter-oil blend, tub",4.6,10.304
1273670,"Butter-oil blend, light",4.8,10.752
1274112,"Butter replacement, powder",0.0,0.0
1274305,"Oil or table fat, NFS",76.6,171.584
1274500,Animal fat or drippings,0.6,1.152
1274695,Lard,0.0,0.0
1275086,"Ghee, clarified butter",8.6,19.264
1275737,Sandwich spread,24.7,60.515
1277001,"Sauce, NFS",1.9,4.56
1277440,Honey butter,2.9,6.496
1277687,"Vegetable oil, NFS",109.3,244.83200000000002
1277882,Almond oil,7.0,15.680000000000001
1278077,Coconut oil,0.6,1.344
1278271,Corn oil,1.9,4.256
1278465,Cottonseed oil,24.7,55.328
1278660,Flaxseed oil,9.3,20.832000000000004
1278855,Olive oil,26.0,58.24000000000001
1279052,Peanut oil,4.2,9.408000000000001
1279245,Canola oil,71.3,159.71200000000002
1279441,Safflower oil,5.3,11.872
1279637,Sesame oil,13.6,30.464000000000002
1279831,Soybean oil,183.9,411.93600000000004
1280027,Sunflower oil,5.4,12.096000000000002
1280220,Walnut oil,15.0,33.6
1280415,Wheat germ oil,24.7,55.328
1281715,Bacon and tomato dressing,69.1,165.83999999999997
1281942,Caesar dressing,104.8,246.28
1282236,Coleslaw dressing,66.1,165.25
1282463,French or Catalina dressing,121.4,303.5
1282789,Honey mustard dressing,70.0,175.0
1283482,"Mayonnaise, regular",163.0,358.6
1283991,Vegan mayonnaise,42.2,94.95
1284414,Russian dressing,53.7,131.56500000000003
1284787,Mayonnaise-type salad dressing,42.2,99.17000000000002
1285227,Avocado dressing,96.7,236.91500000000002
1285438,Creamy Italian dressing,67.7,162.48
1285681,Poppy seed dressing,50.2,117.97000000000001
1285892,Sesame dressing,56.0,131.6
1286199,Ranch dressing,134.3,322.32
1286624,Thousand Island dressing,69.1,172.75
1286915,Yogurt dressing,1.7,4.1819999999999995
1287141,"Salad dressing, light, NFS",3.5,9.1
1287761,"Coleslaw dressing, light",39.5,106.255
1287972,"Creamy Italian dressing, light",11.2,26.88
1288570,"Caesar dressing, light",1.0,2.4
1288928,"Mayonnaise, light",53.7,134.25
1290260,"Honey mustard dressing, light",13.3,31.92
1290586,"Italian dressing, light",12.5,27.0
1290896,"Ranch dressing, light",3.5,8.4
1291172,"Russian dressing, light",6.7,17.42
1291483,"Sesame dressing, light",12.5,29.375
1292052,Korean dressing or marinade,32.5,79.95
1292587,"Caesar dressing, fat free",0.0,0.0
1293724,"Italian dressing, fat free",1.6,3.696
1294111,"Mayonnaise, fat free",0.0,0.0
1294473,"Ranch dressing, fat free",2.3,5.52
1294731,"Russian dressing, fat free",3.7,9.472000000000001
1294993,"Salad dressing, fat free, NFS",2.3,5.52
1298535,"Sugar, NFS",0.0,0.0
1299736,"Sugar, cinnamon",2.2,4.4
1302856,"Syrup, NFS",0.0,0.0
1303115,Pancake syrup,0.0,0.0
1303361,Corn syrup,0.0,0.0
1303555,Blueberry syrup,0.1,0.32000000000000006
1303768,Chocolate syrup,0.2,0.6400000000000001
1304028,"Chocolate syrup, light",0.2,0.48
1304271,Simple syrup,0.0,0.0
1304483,Strawberry drink syrup,0.0,0.0
1304740,"Pancake syrup, light",0.0,0.0
1305030,Honey,0.0,0.0
1305572,Molasses,0.0,0.0
1305960,"Topping, chocolate",2.5,8.0
1306155,"Topping, fruit",0.7,2.2399999999999998
1306352,"Topping, marshmallow",0.0,0.0
1306545,"Topping, nuts and syrup",0.9,2.8800000000000003
1307001,"Icing, chocolate",0.0,0.0
1307196,"Icing, white",13.0,37.699999999999996
1311469,Gelatin dessert,0.0,0.0
1311828,Gelatin dessert with fruit,0.4,0.96
1312071,Gelatin salad with vegetables,3.5,8.4
1312280,"Gelatin dessert, sugar free",0.0,0.0
1312916,Haupia,0.1,0.213
1313112,Italian Ice,0.0,0.0
1313307,"Italian Ice, no sugar added",0.0,0.0
1314425,Snow cone,0.0,0.0
1314688,"Snow cone, no sugar added",0.0,0.0
1315024,"Candy, NFS",1.6,2.5600000000000005
1315855,"Chocolate candy, other, NFS",5.7,9.120000000000001
1316376,Chocolate candy,5.7,9.120000000000001
1317414,Chocolate candy with nuts,4.6,7.359999999999999
1317933,Chocolate candy with cereal,6.2,9.920000000000002
1318451,"Chocolate candy, cookie filled",5.4,8.64
1318897,Chocolate chips,5.6,12.6
1319076,"Candy, sprinkles",0.1,0.16000000000000003
1319822,Dark chocolate candy,8.0,12.8
1320855,Dark chocolate candy with nuts,6.4,10.240000000000002
1321377,White chocolate candy,9.1,14.56
1321822,"Chocolate candy, fudge",1.0,1.6
1323656,"Chocolate candy, cream filled",2.1,3.3600000000000003
1324173,"Chocolate candy, nougat filled",3.2,5.120000000000001
1326191,"Chocolate candy, sugar free",7.5,12.0
1327240,"Candy, licorice",0.0,0.0
1327769,"Candy, marshmallow",0.0,0.0
1328138,"Candy, caramel",5.7,9.120000000000001
1328658,"Candy, nougat with nuts",0.0,0.0
1329425,"Candy, peanut brittle",0.4,0.6400000000000001
1329815,"Candy, gummy",0.0,0.0
1330283,"Candy, hard",0.0,0.0
1330986,"Candy, cotton",0.0,0.0
1331271,"Candy, fruit flavored pieces",0.6,0.96
1331846,"Chocolate candy, candy shell",4.0,6.4
1332867,"Candy, fruit snacks",18.2,29.12
1333613,"Candy, taffy",1.0,1.6
1374453,"Tea, hot, leaf, black",0.0,0.0
1375231,"Tea, hot, leaf, green",0.0,0.0
1376010,"Tea, hot, leaf, oolong",0.0,0.0
1378741,"Tea, hot, herbal",0.0,0.0
1379134,"Tea, hot, hibiscus",0.0,0.0
1379475,Corn beverage,0.0,0.0
1379720,"Tea, hot, chamomile",0.0,0.0
1380108,"Tea, hot, with milk",0.1,0.24
1380496,"Tea, ginger",0.0,0.0
1380855,"Tea, bubble",0.2,0.48
1422441,Slush frozen drink,0.0,0.0
1432256,Oatmeal beverage with water,0.0,0.0
1432452,Oatmeal beverage with milk,0.2,0.496
1432905,Cornmeal beverage,0.1,0.248
1454031,"Water, NFS",0.0,0.0
1454307,"Water, tap",0.0,0.0
1454838,"Water, bottled, plain",0.0,0.0
1455803,"Water beverage, fruit flavored",0.0,0.0
1456060,"Water, enhanced, regular",0.0,0.0
1456320,"Water, enhanced, diet",0.0,0.0
1456567,"Water, baby",0.0,0.0
1465097,Energy drink (Full Throttle),0.0,0.0
1466150,Energy drink (No Fear),0.0,0.0
1466819,Energy drink (NOS),0.0,0.0
1467223,Energy drink (Red Bull),0.0,0.0
1467681,Energy drink (Rockstar),0.0,0.0
1468412,Energy drink (Vault),0.0,0.0
1468732,Energy Drink,0.0,0.0
1470230,"Energy drink, sugar-free (NOS)",0.0,0.0
1471793,Energy drink (XS),0.0,0.0
1472052,Energy drink (XS Gold Plus),0.0,0.0
1472372,"Energy drink, sugar free",0.0,0.0
1472880,Sports drink (Gatorade G),0.2,0.496
1473315,Sports drink (Powerade),0.0,0.0
1473724,"Sports drink, NFS",0.2,0.496
1475022,"Sports drink, low calorie",0.2,0.48
