description,amount_per_100g,amount_per_cup
Bluberries -  canned,19.9,49.75
Blueberries -  frozen,16.4,24.6
Blueberry pie filling,3.9,10.14
Cranberries -  raw,5.0,5.0
Cranberry sauce,1.4,3.92
Raspberries -  raw,7.8,11.7
Raspberries -  frozen,7.8,11.7
Strawberries -  raw,2.1,3.15
Strawberries -  canned,1.5,3.75
Strawberries -  frozen,2.2,3.3
Ambrosia,0.2,0.386
Fruit cocktail -  canned -  NFS,2.3,5.75
Fruit mixture -  frozen,2.6,3.9
Apple salad with dressing,26.3,36.031
Lime souffle,0.7,0.84
Soup -  fruit,2.0,4.84
Sorbet,0.4,0.8
Fruit smoothie -  light,3.1,6.696
Fruit smoothie -  bottled,2.1,5.208
Baby Toddler yogurt melts,12.2,3.416
Potato -  NFS,3.9,6.24
Potato -  baked -  NFS,0.3,0.39
Potato -  baked -  peel not eaten,0.3,0.39
Potato -  boiled -  NFS,3.9,6.24
Potato -  boiled -  ready-to-heat,3.9,6.24
Potato -  canned -  NS as to fat,5.1,9.435
Potato -  canned -  no added fat,1.5,2.775
Potato -  roasted -  NFS,3.9,6.24
Potato -  roasted -  ready-to-heat,3.9,6.24
Potato chips -  NFS,22.1,5.525
Potato chips -  plain,22.1,5.525
Potato chips -  cheese flavored,16.1,4.025
Potato chips -  other flavored,16.1,4.025
Potato chips -  ruffled -  plain,22.1,7.072
Potato chips -  baked -  plain,7.2,1.8
Potato chips -  baked -  flavored,7.2,1.8
Potato chips -  reduced fat,13.2,3.3
Potato chips -  unsalted,11.9,2.975
Potato chips -  lightly salted,22.1,5.525
Potato chips -  popped -  plain,7.2,1.44
Potato chips -  popped -  flavored,7.2,1.44
Potato chips -  popped -  NFS,7.2,1.44
Potato sticks -  plain,22.1,8.398
Potato sticks -  flavored,21.9,8.322
Potato sticks -  fry shaped,21.9,8.322
Vegetable chips,31.0,9.3
Potato -  scalloped -  NFS,1.6,4.0
Potato -  scalloped -  from fresh,1.6,4.0
Potato -  french fries -  NFS,16.7,10.02
Potato -  french fries -  school,10.9,6.54
Potato -  home fries -  NFS,15.1,30.2
Potato -  home fries -  from fresh,13.5,27.0
Potato -  hash brown -  NFS,17.9,28.64
Potato -  hash brown -  from fresh,14.3,22.88
Potato -  mashed -  NFS,1.5,3.75
Potato -  mashed -  from fast food,5.9,14.75
Potato -  mashed -  ready-to-heat,2.4,6.0
Potato patty,8.6,13.76
Potato tots -  NFS,10.0,13.0
Potato tots -  school,10.9,14.17
Potato tots -  frozen -  baked,2.6,3.38
Potato tots -  frozen -  fried,10.0,13.0
Potato -  baked -  peel eaten,2.0,2.6
Potato salad -  German style,2.8,4.9
Potato salad -  from restaurant,26.2,72.05
Stewed potatoes,3.7,9.25
Stewed potatoes with tomatoes,6.2,15.5
Potato and cheese soup,4.1,10.168
Potato chowder,0.8,1.984
Plantain -  cooked -  no added fat,28.7,57.4
Plantain -  cooked with oil,31.1,52.87
Plantain chips,28.6,10.868
Green banana -  fried,31.1,52.87
Cassava -  cooked,4.4,7.04
Yuca fries,16.7,23.38
Dasheen -  cooked,3.4,5.44
Taro -  cooked,3.4,5.44
Beet greens -  raw,400.0,152.0
Beet greens -  cooked,418.8,628.2
Broccoli raab -  raw,224.0,89.6
Broccoli raab -  cooked,228.2,387.94
Chard -  raw,830.0,298.8
Chard -  cooked,866.4,1299.6
Collards -  raw,437.1,157.356
Cress -  raw,541.9,270.95
Cress -  cooked,566.5,793.1
Dandelion greens -  raw,778.4,428.12
Dandelion greens -  cooked,812.6,893.86
Romaine lettuce -  raw,126.3,44.205
Escarole -  cooked,207.4,279.99
Greens -  NS as to form -  cooked,410.0,553.5
Kale -  raw,390.0,97.5
Kale -  NS as to form -  cooked,408.4,551.34
Kale -  fresh -  cooked -  fat added,408.4,551.34
Lambsquarter -  cooked,480.6,889.11
Mustard greens -  raw,257.5,144.2
Poke greens -  cooked,106.8,160.2
Radicchio -  raw,255.2,102.08
Spinach -  raw,482.9,120.725
Spinach -  NS as to form -  cooked,552.6,1022.31
Spinach -  creamed,341.4,682.8
Spinach souffle,133.1,133.1
Spinach and cheese casserole,355.2,710.4
Palak Paneer,177.6,355.2
Channa Saag,363.7,891.065
Taro leaves -  cooked,115.4,173.1
Watercress -  raw,250.0,85.0
Watercress -  cooked,262.6,372.892
Broccoli -  raw,102.0,91.8
Broccoli casserole with rice,46.2,105.336
Fried broccoli,53.6,45.56
Broccoli -  chinese -  raw,89.1,32.076
Broccoli -  Chinese -  cooked,92.2,81.136
Spinach soup,180.2,441.49
Carrots -  raw,13.2,15.84
Carrots -  raw -  salad,42.4,74.2
Carrots -  NS as to form -  cooked,15.6,24.96
Carrots -  glazed -  cooked,12.4,19.84
Pumpkin -  canned -  cooked,17.8,43.61
Pumpkin -  cooked,3.5,8.05
Winter squash -  raw,1.1,1.54
Squash -  winter -  souffle,3.3,5.181
Sweet potato -  candied,4.2,10.5
Sweet potato fries -  NFS,4.8,2.88
Sweet potato chips,24.4,6.1
Sweet potato fries -  frozen,4.8,2.88
Sweet potato fries -  from fresh,12.0,7.2
Sweet potato fries -  school,4.8,2.88
Sweet potato tots,4.8,6.24
Sweet potato tots -  school,4.8,6.24
Tomatoes -  raw,7.5,13.5
Tomatoes -  fresh -  cooked,12.3,29.52
Tomatoes -  canned -  cooked,4.8,11.52
Tomatoes -  scalloped,8.1,19.44
Fried green tomatoes,17.1,30.78
Tomato -  green -  pickled,8.4,11.928
Sun-dried tomatoes,43.0,23.65
Ketchup,3.0,8.16
Ketchup -  reduced sodium,3.0,8.16
Salsa -  NFS,4.2,10.752
Salsa -  pico de gallo,6.9,16.56
Salsa -  red,4.2,10.752
Salsa -  red -  homemade,4.2,9.828
Salsa verde or salsa -  green,13.6,33.456
Spaghetti sauce,13.9,36.14
Spaghetti sauce -  fat free,2.8,7.28
Barbecue sauce,1.8,4.896
Tomato aspic,1.8,4.086
Tomato soup -  NFS,1.6,3.904
Raw vegetable -  NFS,38.0,45.6
Sprouts -  NFS,33.0,18.48
Alfalfa sprouts -  raw,30.5,10.065
Artichoke -  raw,14.8,22.2
Asparagus -  raw,41.6,56.16
Bean sprouts -  raw,33.0,29.7
Green beans -  raw,43.0,43.0
Beets -  raw,0.2,0.27
Broccoflower -  raw,20.2,12.928
Brussels sprouts -  raw,177.0,159.3
Cabbage -  green -  raw,76.0,68.4
Cabbage -  Chinese -  raw,45.5,40.95
Cabbage -  red -  raw,38.2,34.38
Cactus -  raw,5.3,7.95
Cauliflower -  raw,15.5,17.05
Celery -  raw,29.3,35.16
Basil -  raw,414.8,99.552
Cilantro -  raw,310.0,49.6
Corn -  raw,0.3,0.45
Cucumber -  raw,16.4,19.68
Eggplant -  raw,3.5,2.8
Garlic -  raw,1.7,2.295
Jicama -  raw,0.3,0.39
Kohlrabi -  raw,0.1,0.135
Lettuce -  raw,75.2,26.32
Lettuce -  Boston -  raw,140.3,35.075
Lettuce -  arugula -  raw,108.6,21.72
Mixed salad greens -  raw,193.4,67.69
Mushrooms -  raw,0.0,0.0
Onions -  green -  raw,207.0,207.0
Onions -  raw,0.4,0.64
Parsley -  raw,1640.0,984.0
Green peas -  raw,24.8,35.96
Pepper -  hot chili -  raw,16.2,24.3
Pepper -  raw -  NFS,6.5,9.75
Pepper -  sweet -  green -  raw,7.4,11.1
Pepper -  sweet -  red -  raw,4.9,7.35
Pepper -  banana -  raw,9.5,14.25
Radish -  raw,1.3,1.495
Rutabaga -  raw,0.3,0.42
Seaweed -  raw,25.1,20.08
Snowpeas -  raw,25.0,16.25
Summer squash -  yellow -  raw,3.2,3.68
Summer squash -  green -  raw,4.3,4.945
Turnip -  raw,0.1,0.13
Mixed vegetable juice,22.4,55.104
Celery juice,29.3,69.148
Broccoli slaw salad,81.6,151.776
Coleslaw,65.0,143.0
Cabbage salad -  NFS,55.5,122.1
Coleslaw -  with fruit,51.8,113.96
Cucumber and vegetable namasu,10.7,16.585
Greek Salad -  no dressing,64.9,68.145
Spinach salad -  no dressing,347.9,257.446
Cobb salad -  no dressing,33.7,35.385
Bamboo shoots -  cooked,2.2,3.41
Lima beans -  from canned,7.1,13.135
Fried green beans,30.4,44.08
Yellow string beans -  cooked,39.1,56.695
Bean sprouts -  cooked,22.5,25.875
Beets -  NS as to form -  cooked,2.4,4.2
Bitter melon -  cooked,6.9,8.97
Breadfruit -  cooked,2.7,4.59
Broccoflower -  cooked,22.7,20.43
Burdock -  cooked,4.1,5.33
Cabbage -  red -  cooked,40.8,63.24
Cabbage -  savoy -  cooked,71.7,111.135
Cactus -  cooked -  no added fat,5.3,7.95
Cactus -  cooked -  fat added,7.4,11.47
Celery -  cooked,32.9,50.995
Christophine -  cooked,6.7,11.055
Corn -  cooked -  from restaurant,3.9,6.63
Corn -  NS as to form -  cooked,2.2,3.74
Corn -  fresh -  cooked with oil,3.5,5.95
Corn -  frozen -  cooked with oil,3.5,5.95
Corn -  canned -  cooked with oil,3.2,5.44
Corn -  creamed,0.0,0.0
Cucumber -  cooked,21.3,39.405
Eggplant -  cooked -  no added fat,3.8,3.61
Eggplant -  cooked -  fat added,6.0,6.0
Hominy -  cooked,1.4,2.38
Kohlrabi -  cooked,2.4,4.08
Leek -  cooked,51.3,87.21
Lotus root -  cooked,2.3,2.875
Mushrooms -  canned -  cooked,2.2,3.52
Okra -  NS as to form -  cooked,35.0,57.75
Okra -  fresh -  cooked -  fat added,35.0,57.75
Lettuce -  cooked,88.3,75.938
Onions -  cooked -  no added fat,0.5,1.05
Onions -  cooked -  fat added,3.1,6.665
Onions -  pearl -  cooked,2.5,4.625
Onions -  green -  cooked,238.4,536.4
Palm hearts -  cooked,2.2,3.19
Parsnips -  cooked,3.2,5.12
Blackeyed peas -  from frozen,37.8,69.93
Blackeyed peas -  from canned,37.7,69.745
Peppers -  green -  cooked,9.8,15.19
Peppers -  red -  cooked,7.3,11.315
Hot peppers -  cooked,18.7,28.05
Pimiento,10.2,19.584
Daikon radish -  cooked,3.5,5.425
Rutabaga -  cooked,2.7,4.725
Salsify -  cooked,2.5,3.5
Sauerkraut,14.0,19.6
Snowpea -  NS as to form -  cooked,27.5,45.375
Seaweed -  dried,25.0,3.75
Seaweed -  cooked -  no added fat,25.1,25.1
Seaweed -  cooked -  fat added,26.6,27.93
Spaghetti squash -  cooked,3.0,4.65
Turnip -  cooked,2.5,4.0
Water Chesnut,0.3,0.474
Winter melon -  cooked,4.9,8.575
Ratatouille,5.1,10.965
Jai -  Monk's Food,1.0,1.88
Artichokes -  stuffed,28.2,16.92
Green bean casserole,30.8,70.84
Fried cauliflower,19.5,16.575
Chiles rellenos -  cheese-filled,13.5,23.76
Corn -  scalloped or pudding,3.2,6.848
Fritter -  corn,23.6,24.78
Fried eggplant,14.8,32.56
Mushrooms -  stuffed,13.9,26.41
Fried mushrooms,13.4,18.09
Fried okra,31.5,28.35
Fried onion rings,45.0,22.5
Pea salad,52.0,111.28
Pea salad with cheese,47.0,100.58
Squash -  summer -  souffle,2.7,3.672
Vegetable stew without meat,4.5,10.755
Vegetable tempura,27.6,17.388
Vegetable curry,10.8,25.92
Vegetable curry with rice,6.5,13.0
Green beans -  pickled,35.7,51.765
Beets -  pickled,0.3,0.51
Celery -  pickled,24.3,36.45
Cauliflower -  pickled,12.9,16.125
Cabbage -  red -  pickled,31.7,47.55
Kimchi,43.6,65.4
Pickles -  dill,16.8,26.04
Pickles -  sweet,47.1,73.005
Eggplant -  pickled,2.9,2.755
Ginger root -  pickled,2.2,5.28
Mushrooms -  pickled,0.0,0.0
Olives -  NFS,1.4,1.89
Olives -  green,1.4,1.89
Olives -  black,1.4,1.89
Olives -  stuffed,16.6,22.41
Peppers -  pickled,5.4,8.1
Pepper -  hot -  pickled,21.9,32.85
Jalapenos -  NFS,20.2,30.3
Pickles -  NFS,16.8,26.04
Pickles -  fried,28.7,44.485
Seaweed -  pickled,20.8,20.8
Vegetables -  pickled,11.8,18.88
Turnip -  pickled,0.1,0.155
Zucchini -  pickled,3.6,6.12
Borscht,9.5,23.275
Kimchi soup,13.8,33.81
Gazpacho,35.9,87.596
Onion soup -  French,1.2,2.892
Pea soup -  prepared with milk,0.3,0.762
Seaweed soup,11.9,27.37
Vegetable soup -  home recipe,16.9,39.546
Minestrone soup -  home recipe,16.3,38.305
Vegetable broth -  bouillon,0.7,1.68
Eggplant and meat casserole,21.2,43.036
Vegetable smoothie,85.4,184.464
Table fat -  NFS,43.9,98.336
Butter -  NFS,7.0,15.68
Butter -  stick,7.0,15.68
Butter -  tub,4.6,10.304
Butter -  light,4.8,10.752
Margarine -  NFS,99.2,222.208
Margarine -  stick,93.0,208.32
Margarine -  tub,101.3,226.912
Margarine-oil blend -  NFS,101.3,232.99
Margarine-oil blend -  stick,93.0,208.32
Margarine-oil blend -  tub,101.3,232.99
Butter replacement -  liquid,101.3,226.912
Butter-oil blend -  NFS,4.6,10.304
Butter-oil blend -  stick,7.0,15.68
Butter-oil blend -  tub,4.6,10.304
Butter-oil blend -  light,4.8,10.752
Butter replacement -  powder,0.0,0.0
Oil or table fat -  NFS,76.6,171.584
Animal fat or drippings,0.6,1.152
Lard,0.0,0.0
Ghee -  clarified butter,8.6,19.264
Sandwich spread,24.7,60.515
Sauce -  NFS,1.9,4.56
Honey butter,2.9,6.496
Vegetable oil -  NFS,109.3,244.832
Almond oil,7.0,15.68
Coconut oil,0.6,1.344
Corn oil,1.9,4.256
Cottonseed oil,24.7,55.328
Flaxseed oil,9.3,20.832
Olive oil,26.0,58.24
Peanut oil,4.2,9.408
Canola oil,71.3,159.712
Safflower oil,5.3,11.872
Sesame oil,13.6,30.464
Soybean oil,183.9,411.936
Sunflower oil,5.4,12.096
Walnut oil,15.0,33.6
Wheat germ oil,24.7,55.328
Bacon and tomato dressing,69.1,165.84
Caesar dressing,104.8,246.28
Coleslaw dressing,66.1,165.25
French or Catalina dressing,121.4,303.5
Honey mustard dressing,70.0,175.0
Mayonnaise -  regular,163.0,358.6
Vegan mayonnaise,42.2,94.95
Russian dressing,53.7,131.565
Mayonnaise-type salad dressing,42.2,99.17
Avocado dressing,96.7,236.915
Creamy Italian dressing,67.7,162.48
Poppy seed dressing,50.2,117.97
Sesame dressing,56.0,131.6
Ranch dressing,134.3,322.32
Thousand Island dressing,69.1,172.75
Yogurt dressing,1.7,4.182
Salad dressing -  light -  NFS,3.5,9.1
Coleslaw dressing -  light,39.5,106.255
Creamy Italian dressing -  light,11.2,26.88
Caesar dressing -  light,1.0,2.4
Mayonnaise -  light,53.7,134.25
Honey mustard dressing -  light,13.3,31.92
Italian dressing -  light,12.5,27.0
Ranch dressing -  light,3.5,8.4
Russian dressing -  light,6.7,17.42
Sesame dressing -  light,12.5,29.375
Korean dressing or marinade,32.5,79.95
Caesar dressing -  fat free,0.0,0.0
Italian dressing -  fat free,1.6,3.696
Mayonnaise -  fat free,0.0,0.0
Ranch dressing -  fat free,2.3,5.52
Russian dressing -  fat free,3.7,9.472
Salad dressing -  fat free -  NFS,2.3,5.52
Sugar -  NFS,0.0,0.0
Sugar -  cinnamon,2.2,4.4
Syrup -  NFS,0.0,0.0
Pancake syrup,0.0,0.0
Corn syrup,0.0,0.0
Blueberry syrup,0.1,0.32
Chocolate syrup,0.2,0.64
Chocolate syrup -  light,0.2,0.48
Simple syrup,0.0,0.0
Strawberry drink syrup,0.0,0.0
Pancake syrup -  light,0.0,0.0
Honey,0.0,0.0
Molasses,0.0,0.0
Topping -  chocolate,2.5,8.0
Topping -  fruit,0.7,2.24
Topping -  marshmallow,0.0,0.0
Topping -  nuts and syrup,0.9,2.88
Icing -  chocolate,0.0,0.0
Icing -  white,13.0,37.7
Gelatin dessert,0.0,0.0
Gelatin dessert with fruit,0.4,0.96
Gelatin salad with vegetables,3.5,8.4
Gelatin dessert -  sugar free,0.0,0.0
Haupia,0.1,0.213
Italian Ice,0.0,0.0
Italian Ice -  no sugar added,0.0,0.0
Snow cone,0.0,0.0
Snow cone -  no sugar added,0.0,0.0
Candy -  NFS,1.6,2.56
Chocolate candy -  other -  NFS,5.7,9.12
Chocolate candy,5.7,9.12
Chocolate candy with nuts,4.6,7.36
Chocolate candy with cereal,6.2,9.92
Chocolate candy -  cookie filled,5.4,8.64
Chocolate chips,5.6,12.6
Candy -  sprinkles,0.1,0.16
Dark chocolate candy,8.0,12.8
Dark chocolate candy with nuts,6.4,10.24
White chocolate candy,9.1,14.56
Chocolate candy -  fudge,1.0,1.6
Chocolate candy -  cream filled,2.1,3.36
Chocolate candy -  nougat filled,3.2,5.12
Chocolate candy -  sugar free,7.5,12.0
Candy -  licorice,0.0,0.0
Candy -  marshmallow,0.0,0.0
Candy -  caramel,5.7,9.12
Candy -  nougat with nuts,0.0,0.0
Candy -  peanut brittle,0.4,0.64
Candy -  gummy,0.0,0.0
Candy -  hard,0.0,0.0
Candy -  cotton,0.0,0.0
Candy -  fruit flavored pieces,0.6,0.96
Chocolate candy -  candy shell,4.0,6.4
Candy -  fruit snacks,18.2,29.12
Candy -  taffy,1.0,1.6
Tea -  hot -  leaf -  black,0.0,0.0
Tea -  hot -  leaf -  green,0.0,0.0
Tea -  hot -  leaf -  oolong,0.0,0.0
Tea -  hot -  herbal,0.0,0.0
Tea -  hot -  hibiscus,0.0,0.0
Corn beverage,0.0,0.0
Tea -  hot -  chamomile,0.0,0.0
Tea -  hot -  with milk,0.1,0.24
Tea -  ginger,0.0,0.0
Tea -  bubble,0.2,0.48
Slush frozen drink,0.0,0.0
Oatmeal beverage with water,0.0,0.0
Oatmeal beverage with milk,0.2,0.496
Cornmeal beverage,0.1,0.248
Water -  NFS,0.0,0.0
Water -  tap,0.0,0.0
Water -  bottled -  plain,0.0,0.0
Water beverage -  fruit flavored,0.0,0.0
Water -  enhanced -  regular,0.0,0.0
Water -  enhanced -  diet,0.0,0.0
Water -  baby,0.0,0.0
Energy drink (Full Throttle),0.0,0.0
Energy drink (No Fear),0.0,0.0
Energy drink (NOS),0.0,0.0
Energy drink (Red Bull),0.0,0.0
Energy drink (Rockstar),0.0,0.0
Energy drink (Vault),0.0,0.0
Energy Drink,0.0,0.0
Energy drink -  sugar-free (NOS),0.0,0.0
Energy drink (XS),0.0,0.0
Energy drink (XS Gold Plus),0.0,0.0
Energy drink -  sugar free,0.0,0.0
Sports drink (Gatorade G),0.2,0.496
Sports drink (Powerade),0.0,0.0
Sports drink -  NFS,0.2,0.496
Sports drink -  low calorie,0.2,0.48
